label,LSTM_F1,Transformer_F1,LSTM_Recall,Transformer_Recall
BoxingPunchingBag,0.9419595213286605,0.9293318627735532,0.9384960718294052,0.9322109988776656
JumpingJack,0.955402167041562,0.9515982802462052,0.951219512195122,0.959349593495935
PullUps,0.9050925925925926,0.938927738927739,0.8600713012477718,0.9200831847890673
PushUps,0.8651914098972923,0.9157693674484718,0.8725490196078431,0.9019607843137256
WalkingWithDog,0.8533648027112078,0.9154963861402422,0.8536585365853658,0.91869918699187
